invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99700.0,100,997.0,998.75,3210,2025-02-28 09:20:00+05:30,2025-02-28 15:25:00+05:30,175.0,1.5,12
99700.0,100,997.0,998.75,3210,2025-02-28 09:20:00+05:30,2025-02-28 15:25:00+05:30,175.0,2.0,12
99609.65000000001,109,913.85,909.0,6435,2025-05-08 13:45:00+05:30,2025-05-08 15:25:00+05:30,-528.6500000000025,0.5,12
99609.65000000001,109,913.85,909.0,6435,2025-05-08 13:45:00+05:30,2025-05-08 15:25:00+05:30,-528.6500000000025,1.0,12
99609.65000000001,109,913.85,909.0,6435,2025-05-08 13:45:00+05:30,2025-05-08 15:25:00+05:30,-528.6500000000025,1.5,12
99609.65000000001,109,913.85,909.0,6435,2025-05-08 13:45:00+05:30,2025-05-08 15:25:00+05:30,-528.6500000000025,2.0,12
98998.90000000001,86,1151.15,1156.9057500000001,9054,2025-06-26 14:50:00+05:30,2025-06-26 14:55:00+05:30,494.994500000003,0.5,12
98998.90000000001,86,1151.15,1162.6615000000002,9054,2025-06-26 14:50:00+05:30,2025-06-26 14:55:00+05:30,989.989000000006,1.0,12
98998.90000000001,86,1151.15,1168.41725,9056,2025-06-26 14:50:00+05:30,2025-06-26 15:05:00+05:30,1484.9834999999894,1.5,12
98998.90000000001,86,1151.15,1168.0,9060,2025-06-26 14:50:00+05:30,2025-06-26 15:25:00+05:30,1449.0999999999922,2.0,12
99708.0,84,1187.0,1181.065,9611,2025-07-08 11:15:00+05:30,2025-07-08 11:20:00+05:30,-498.5399999999954,0.5,12
99708.0,84,1187.0,1198.87,9618,2025-07-08 11:15:00+05:30,2025-07-08 11:55:00+05:30,997.0799999999908,1.0,12
99708.0,84,1187.0,1204.805,9619,2025-07-08 11:15:00+05:30,2025-07-08 12:00:00+05:30,1495.6200000000053,1.5,12
99708.0,84,1187.0,1210.74,9620,2025-07-08 11:15:00+05:30,2025-07-08 12:05:00+05:30,1994.1600000000008,2.0,12
99019.6,94,1053.4,1058.6670000000001,12216,2025-08-28 09:35:00+05:30,2025-08-28 09:40:00+05:30,495.09800000000496,0.5,12
99019.6,94,1053.4,1042.866,12257,2025-08-28 09:35:00+05:30,2025-08-28 13:05:00+05:30,-990.1960000000099,1.0,12
99019.6,94,1053.4,1033.2,12285,2025-08-28 09:35:00+05:30,2025-08-28 15:25:00+05:30,-1898.8000000000043,1.5,12
99019.6,94,1053.4,1033.2,12285,2025-08-28 09:35:00+05:30,2025-08-28 15:25:00+05:30,-1898.8000000000043,2.0,12
99700.0,100,997.0,1001.985,3138,2025-02-28 09:20:00+05:30,2025-02-28 09:25:00+05:30,498.50000000000136,0.5,13
99700.0,100,997.0,1006.97,3138,2025-02-28 09:20:00+05:30,2025-02-28 09:25:00+05:30,997.0000000000027,1.0,13
99700.0,100,997.0,998.75,3210,2025-02-28 09:20:00+05:30,2025-02-28 15:25:00+05:30,175.0,1.5,13
99700.0,100,997.0,998.75,3210,2025-02-28 09:20:00+05:30,2025-02-28 15:25:00+05:30,175.0,2.0,13
99122.4,108,917.8,913.2109999999999,3602,2025-03-10 10:30:00+05:30,2025-03-10 10:35:00+05:30,-495.612000000006,0.5,13
99122.4,108,917.8,926.9779999999998,3603,2025-03-10 10:30:00+05:30,2025-03-10 10:40:00+05:30,991.2239999999874,1.0,13
99122.4,108,917.8,904.0329999999999,3617,2025-03-10 10:30:00+05:30,2025-03-10 11:50:00+05:30,-1486.8360000000057,1.5,13
99122.4,108,917.8,899.444,3619,2025-03-10 10:30:00+05:30,2025-03-10 12:00:00+05:30,-1982.4479999999994,2.0,13
